tube,time,substrate,strain,formaldehyde,CFU/mL
1,0,methanol,CM2730,0,1.00E+05
2,0,methanol,CM2730,2,9.50E+05
3,0,methanol,CM2730,3,2.25E+05
4,0,methanol,CM2730,4,3.45E+05
5,0,methanol,CM3745,0,1.10E+06
6,0,methanol,CM3745,2,7.00E+05
7,0,methanol,CM3745,3,6.33E+05
8,0,methanol,CM3745,4,1.10E+06
9,0,succinate,CM2730,0,1.35E+06
10,0,succinate,CM2730,2,1.00E+06
11,0,succinate,CM2730,3,7.50E+05
12,0,succinate,CM2730,4,1.30E+06
13,0,succinate,CM3745,0,7.50E+05
14,0,succinate,CM3745,2,1.30E+06
15,0,succinate,CM3745,3,1.25E+06
16,0,succinate,CM3745,4,1.00E+06
1,8,methanol,CM2730,0,1.05E+06
2,8,methanol,CM2730,2,5.03E+06
3,8,methanol,CM2730,3,1.05E+06
4,8,methanol,CM2730,4,1.30E+06
5,8,methanol,CM3745,0,2.20E+06
6,8,methanol,CM3745,2,2.20E+06
7,8,methanol,CM3745,3,1.00E+06
8,8,methanol,CM3745,4,2.00E+06
9,8,succinate,CM2730,0,3.00E+06
10,8,succinate,CM2730,2,1.85E+06
11,8,succinate,CM2730,3,4.40E+05
12,8,succinate,CM2730,4,4.60E+05
13,8,succinate,CM3745,0,3.30E+06
14,8,succinate,CM3745,2,5.40E+06
15,8,succinate,CM3745,3,2.00E+06
16,8,succinate,CM3745,4,1.05E+06
1,16,methanol,CM2730,0,2.95E+07
2,16,methanol,CM2730,2,4.40E+05
3,16,methanol,CM2730,3,1.85E+05
4,16,methanol,CM2730,4,7.50E+02
5,16,methanol,CM3745,0,1.90E+07
6,16,methanol,CM3745,2,1.10E+06
7,16,methanol,CM3745,3,2.55E+07
8,16,methanol,CM3745,4,1.90E+07
9,16,succinate,CM2730,0,1.00E+08
10,16,succinate,CM2730,2,3.90E+06
11,16,succinate,CM2730,3,8.00E+05
12,16,succinate,CM2730,4,1.00E+05
13,16,succinate,CM3745,0,8.00E+07
14,16,succinate,CM3745,2,8.00E+07
15,16,succinate,CM3745,3,1.10E+08
16,16,succinate,CM3745,4,5.10E+07
1,25.5,methanol,CM2730,0,2.20E+08
2,25.5,methanol,CM2730,2,9.00E+07
3,25.5,methanol,CM2730,3,2.75E+06
4,25.5,methanol,CM2730,4,5.33E+03
5,25.5,methanol,CM3745,0,1.25E+08
6,25.5,methanol,CM3745,2,3.70E+08
7,25.5,methanol,CM3745,3,2.80E+08
8,25.5,methanol,CM3745,4,2.30E+08
9,25.5,succinate,CM2730,0,1.75E+08
10,25.5,succinate,CM2730,2,9.00E+07
11,25.5,succinate,CM2730,3,5.65E+05
12,25.5,succinate,CM2730,4,1.00E+05
13,25.5,succinate,CM3745,0,2.60E+08
14,25.5,succinate,CM3745,2,3.80E+08
15,25.5,succinate,CM3745,3,2.25E+08
16,25.5,succinate,CM3745,4,2.70E+08
1,34.5,methanol,CM2730,0,2.50E+08
2,34.5,methanol,CM2730,2,1.55E+08
3,34.5,methanol,CM2730,3,9.03E+07
4,34.5,methanol,CM2730,4,1.80E+05
5,34.5,methanol,CM3745,0,1.60E+08
6,34.5,methanol,CM3745,2,5.05E+08
7,34.5,methanol,CM3745,3,1.80E+08
8,34.5,methanol,CM3745,4,2.80E+08
9,34.5,succinate,CM2730,0,2.70E+08
10,34.5,succinate,CM2730,2,1.75E+08
11,34.5,succinate,CM2730,3,2.10E+04
12,34.5,succinate,CM2730,4,5.30E+03
13,34.5,succinate,CM3745,0,2.20E+08
14,34.5,succinate,CM3745,2,2.30E+08
15,34.5,succinate,CM3745,3,2.40E+08
16,34.5,succinate,CM3745,4,2.55E+08
1,40,methanol,CM2730,0,3.10E+08
2,40,methanol,CM2730,2,3.45E+08
3,40,methanol,CM2730,3,2.00E+07
4,40,methanol,CM2730,4,1.10E+05
5,40,methanol,CM3745,0,2.80E+08
6,40,methanol,CM3745,2,2.90E+08
7,40,methanol,CM3745,3,2.95E+08
8,40,methanol,CM3745,4,5.55E+08
9,40,succinate,CM2730,0,2.15E+07
10,40,succinate,CM2730,2,3.50E+08
11,40,succinate,CM2730,3,1.32E+05
12,40,succinate,CM2730,4,3.00E+03
13,40,succinate,CM3745,0,1.75E+08
14,40,succinate,CM3745,2,3.00E+08
15,40,succinate,CM3745,3,3.40E+08
16,40,succinate,CM3745,4,2.80E+08
1,48,methanol,CM2730,0,3.10E+08
2,48,methanol,CM2730,2,2.00E+08
3,48,methanol,CM2730,3,2.00E+08
4,48,methanol,CM2730,4,7.50E+07
5,48,methanol,CM3745,0,5.00E+08
6,48,methanol,CM3745,2,4.05E+08
7,48,methanol,CM3745,3,4.40E+08
8,48,methanol,CM3745,4,4.40E+08
9,48,succinate,CM2730,0,3.55E+08
10,48,succinate,CM2730,2,4.60E+08
11,48,succinate,CM2730,3,2.60E+06
12,48,succinate,CM2730,4,2.55E+04
13,48,succinate,CM3745,0,3.05E+08
14,48,succinate,CM3745,2,2.80E+08
15,48,succinate,CM3745,3,3.10E+08
16,48,succinate,CM3745,4,3.75E+08
1,57.5,methanol,CM2730,0,1.75E+08
2,57.5,methanol,CM2730,2,2.90E+08
3,57.5,methanol,CM2730,3,2.50E+08
4,57.5,methanol,CM2730,4,4.00E+07
5,57.5,methanol,CM3745,0,2.70E+08
6,57.5,methanol,CM3745,2,1.85E+08
7,57.5,methanol,CM3745,3,2.40E+08
8,57.5,methanol,CM3745,4,3.40E+08
9,57.5,succinate,CM2730,0,3.05E+08
10,57.5,succinate,CM2730,2,2.50E+08
11,57.5,succinate,CM2730,3,8.50E+07
12,57.5,succinate,CM2730,4,8.00E+06
13,57.5,succinate,CM3745,0,2.05E+08
14,57.5,succinate,CM3745,2,2.30E+08
15,57.5,succinate,CM3745,3,4.10E+08
16,57.5,succinate,CM3745,4,5.75E+08
1,64,methanol,CM2730,0,2.55E+08
2,64,methanol,CM2730,2,2.60E+08
3,64,methanol,CM2730,3,2.70E+08
4,64,methanol,CM2730,4,2.95E+08
5,64,methanol,CM3745,0,2.70E+08
6,64,methanol,CM3745,2,2.70E+08
7,64,methanol,CM3745,3,2.75E+08
8,64,methanol,CM3745,4,1.90E+08
9,64,succinate,CM2730,0,1.70E+08
10,64,succinate,CM2730,2,2.05E+08
11,64,succinate,CM2730,3,1.55E+08
12,64,succinate,CM2730,4,3.90E+06
13,64,succinate,CM3745,0,2.20E+08
14,64,succinate,CM3745,2,4.75E+08
15,64,succinate,CM3745,3,2.90E+08
16,64,succinate,CM3745,4,1.40E+08