flask,strain,treatment,time,A412,formaldehyde,standard curve
1,CM2730,5,0,0.72,4.84224,A
2,CM3745,5,0,0.697,4.673374,A
3,CM2730,7.5,0,,,
4,CM3745,7.5,0,0.922,6.325324,A
5,CM2730,10,0,1.488,10.480896,A
6,CM3745,10,0,1.474,10.378108,A
7,CM2730,12.5,0,1.92,13.65264,A
8,CM3745,12.5,0,1.96,13.94632,A
9,CM2730,15,0,2.037,14.511654,A
10,CM3745,15,0,2.248,16.060816,A
11,CM2730,20,0,2.617,18.770014,A
12,CM3745,20,0,2.989,21.501238,A
1,CM2730,5,60,0.744,5.018448,A
2,CM3745,5,60,0.577,3.792334,A
3,CM2730,7.5,60,1.094,7.588148,A
4,CM3745,7.5,60,1.015,7.00813,A
5,CM2730,10,60,1.513,10.664446,A
6,CM3745,10,60,1.524,10.745208,A
7,CM2730,12.5,60,1.849,13.131358,A
8,CM3745,12.5,60,2.026,14.430892,A
9,CM2730,15,60,2.252,16.090184,A
10,CM3745,15,60,2.311,16.523362,A
11,CM2730,20,60,2.604,18.674568,A
12,CM3745,20,60,2.959,21.280978,A
1,CM2730,5,120,0.719,4.834898,A
2,CM3745,5,120,0.465,2.97003,A
3,CM2730,7.5,120,1.104,7.661568,A
4,CM3745,7.5,120,0.991,6.831922,A
5,CM2730,10,120,1.499,10.561658,A
6,CM3745,10,120,1.53,10.78926,A
7,CM2730,12.5,120,1.897,13.483774,A
8,CM3745,12.5,120,1.977,14.071134,A
9,CM2730,15,120,2.249,16.068158,A
10,CM3745,15,120,2.282,16.310444,A
11,CM2730,20,120,2.762,19.834604,A
12,CM3745,20,120,2.94,21.14148,A
1,CM2730,5,180,0.64,4.25488,A
2,CM3745,5,180,0.328,1.964176,A
3,CM2730,7.5,180,1.084,7.514728,A
4,CM3745,7.5,180,0.854,5.826068,A
5,CM2730,10,180,1.523,10.737866,A
6,CM3745,10,180,1.528,10.774576,A
7,CM2730,12.5,180,1.856,13.182752,A
8,CM3745,12.5,180,1.892,13.447064,A
9,CM2730,15,180,2.218,15.840556,A
10,CM3745,15,180,2.215,15.81853,A
11,CM2730,20,180,2.713,19.474846,A
12,CM3745,20,180,2.903,20.869826,A
1,CM2730,5,20,0.65,5.046,B
2,CM3745,5,20,,,
3,CM2730,7.5,20,1.028,7.87344,B
4,CM3745,7.5,20,,,
1,CM2730,5,40,0.647,5.02356,B
2,CM3745,5,40,0.278,2.26344,B
3,CM2730,7.5,40,0.975,7.477,B
4,CM3745,7.5,40,0.881,6.77388,B
1,CM2730,5,80,0.619,4.81412,B
2,CM3745,5,80,0.226,1.87448,B
3,CM2730,7.5,80,0.948,7.27504,B
4,CM3745,7.5,80,0.784,6.04832,B
1,CM2730,5,100,0.565,4.4102,B
2,CM3745,5,100,0.224,1.85952,B
3,CM2730,7.5,100,0.973,7.46204,B
4,CM3745,7.5,100,0.732,5.65936,B
1,CM2730,5,140,0.529,4.14092,B
2,CM3745,5,140,0.235,1.9418,B
3,CM2730,7.5,140,0.94,7.2152,B
4,CM3745,7.5,140,0.702,5.43496,B
1,CM2730,5,160,,,
2,CM3745,5,160,0.169,1.44812,B
3,CM2730,7.5,160,0.932,7.15536,B
4,CM3745,7.5,160,0.673,5.21804,B
1,CM2730,5,720,0.667,4.908556,C
2,CM3745,5,720,-0.01,-0.28268,C
3,CM2730,7.5,720,1.063,7.945084,C
4,CM3745,7.5,720,0.047,0.154396,C
5,CM2730,10,720,1.343,10.092124,C
6,CM3745,10,720,1.381,10.383508,C
7,CM2730,12.5,720,1.672,12.614896,C
8,CM3745,12.5,720,1.785,13.48138,C
9,CM2730,15,720,1.919,14.508892,C
10,CM3745,15,720,2.031,15.367708,C
11,CM2730,20,720,2.314,17.537752,C
12,CM3745,20,720,2.736,20.773648,C
1,CM2730,5,1500,0.265,1.82602,C
2,CM3745,5,1500,-0.027,-0.413036,C
3,CM2730,7.5,1500,1.043,7.791724,C
4,CM3745,7.5,1500,-0.023,-0.382364,C
5,CM2730,10,1500,1.335,10.03078,C
6,CM3745,10,1500,1.386,10.421848,C
7,CM2730,12.5,1500,1.794,13.550392,C
8,CM3745,12.5,1500,1.772,13.381696,C
9,CM2730,15,1500,1.932,14.608576,C
10,CM3745,15,1500,2.057,15.567076,C
11,CM2730,20,1500,2.316,17.553088,C
12,CM3745,20,1500,2.628,19.945504,C